threshold	A	u(A)
5435	1.507395	0.000368
9876	1.507130	0.000368
6800	1.507309	0.000368
7484	1.506636	0.000368
9481	1.506528	0.000368
8590	1.506480	0.000368
7731	1.506483	0.000368
9528	1.506771	0.000368
8106	1.506855	0.000368
7723	1.507221	0.000368
5797	1.506633	0.000368
8914	1.506501	0.000368
6143	1.506936	0.000368
9414	1.507211	0.000368
5934	1.507566	0.000368
7539	1.506401	0.000368
5904	1.507293	0.000368
7782	1.506702	0.000368
8872	1.507146	0.000368
7598	1.506996	0.000368
8926	1.507362	0.000368
5896	1.507866	0.000368
5322	1.508161	0.000368
6687	1.506876	0.000368
8854	1.507247	0.000368
7367	1.506966	0.000368
9500	1.507366	0.000368
9604	1.506823	0.000368
7569	1.507006	0.000368
5227	1.507439	0.000368
6524	1.507137	0.000368
8596	1.507026	0.000368
9672	1.506745	0.000368
8652	1.506820	0.000368
8063	1.507164	0.000368
7755	1.506807	0.000368
6820	1.506892	0.000368
7763	1.506794	0.000368
5958	1.506762	0.000368
5490	1.506605	0.000368
5876	1.507203	0.000368
5478	1.506915	0.000368
9629	1.507007	0.000368
5931	1.507571	0.000368
8000	1.507339	0.000368
5415	1.507055	0.000368
8975	1.507057	0.000368
5681	1.507076	0.000368
8266	1.506658	0.000368
6906	1.507205	0.000368
8443	1.506857	0.000368
6689	1.507385	0.000368
6033	1.507348	0.000368
7691	1.507291	0.000368
8748	1.507416	0.000368
9708	1.506676	0.000368
9817	1.506436	0.000368
8250	1.506595	0.000368
9393	1.506670	0.000368
7564	1.507827	0.000368
6213	1.507506	0.000368
5371	1.507201	0.000368
6484	1.506194	0.000368
9098	1.507046	0.000368
6264	1.506641	0.000368
9241	1.507253	0.000368
5309	1.506999	0.000368
6448	1.507281	0.000368
7014	1.507144	0.000368
8355	1.507917	0.000368
5559	1.506965	0.000368
5415	1.507252	0.000368
6371	1.507151	0.000368
9361	1.507337	0.000368
6832	1.507240	0.000368
8458	1.507124	0.000368
5653	1.507391	0.000368
8250	1.506796	0.000368
7957	1.507296	0.000368
6215	1.507041	0.000368
9392	1.506376	0.000368
5100	1.507742	0.000368
6674	1.507571	0.000368
7132	1.507146	0.000368
9847	1.506275	0.000368
6248	1.507440	0.000368
5190	1.506891	0.000368
8075	1.507401	0.000368
7590	1.507621	0.000368
9642	1.506440	0.000368
8523	1.507194	0.000368
8187	1.506808	0.000368
6178	1.507532	0.000368
5944	1.507687	0.000368
6260	1.507031	0.000368
6989	1.506459	0.000368
7468	1.507129	0.000368
5244	1.507030	0.000368
7984	1.506758	0.000368
6019	1.507327	0.000368
7196	1.507479	0.000368
7645	1.506940	0.000368
5029	1.507092	0.000368
6457	1.507218	0.000368
9416	1.506398	0.000368
6449	1.507275	0.000368
8298	1.507493	0.000368
5103	1.507531	0.000368
9631	1.507323	0.000368
7800	1.507421	0.000368
8452	1.506940	0.000368
9630	1.507239	0.000368
7445	1.507521	0.000368
6637	1.506538	0.000368
5207	1.507190	0.000368
5786	1.507544	0.000368
9408	1.507558	0.000368
6750	1.507122	0.000368
9882	1.506907	0.000368
8339	1.507089	0.000368
5568	1.506599	0.000368
5999	1.507445	0.000368
9982	1.506656	0.000368
7450	1.506802	0.000368
6935	1.506272	0.000368
5660	1.507181	0.000368
8038	1.507192	0.000368
7329	1.507667	0.000368
7085	1.506602	0.000368
6400	1.507115	0.000368
7096	1.507169	0.000368
9570	1.506927	0.000368
8873	1.507011	0.000368
7222	1.507430	0.000368
5946	1.506830	0.000368
9620	1.507017	0.000368
8078	1.506855	0.000368
9026	1.506699	0.000368
5562	1.507255	0.000368
9951	1.507021	0.000368
8140	1.507543	0.000368
7037	1.507456	0.000368
5471	1.507849	0.000368
6701	1.506599	0.000368
6467	1.507479	0.000368
8787	1.507218	0.000368
5658	1.506788	0.000368
6236	1.507162	0.000368
5969	1.507376	0.000368
9695	1.507011	0.000368
8252	1.507000	0.000368
9410	1.507456	0.000368
5623	1.507628	0.000368
6454	1.506345	0.000368
8791	1.506374	0.000368
8219	1.507599	0.000368
5664	1.506815	0.000368
7267	1.506745	0.000368
6679	1.506514	0.000368
8785	1.507303	0.000368
5915	1.506993	0.000368
7216	1.506734	0.000368
8366	1.506752	0.000368
8747	1.506835	0.000368
7633	1.507225	0.000368
5708	1.507420	0.000368
6016	1.507023	0.000368
9634	1.506704	0.000368
8172	1.506649	0.000368
8261	1.506678	0.000368
7878	1.506905	0.000368
9772	1.507161	0.000368
7475	1.507828	0.000368
5090	1.506615	0.000368
8921	1.507243	0.000368
8431	1.507796	0.000368
9932	1.506963	0.000368
6124	1.507574	0.000368
8168	1.507424	0.000368
6519	1.507985	0.000368
8690	1.507096	0.000368
7625	1.506790	0.000368
5733	1.507182	0.000368
8418	1.506902	0.000368
9404	1.507061	0.000368
6816	1.506870	0.000368
6694	1.506695	0.000368
6645	1.506440	0.000368
7875	1.506745	0.000368
8410	1.507323	0.000368
8416	1.507535	0.000368
8455	1.507490	0.000368
8746	1.507304	0.000368
7809	1.507249	0.000368
9328	1.507434	0.000368
8701	1.506783	0.000368
5385	1.507562	0.000368
6080	1.506891	0.000368
9114	1.507200	0.000368
8826	1.506655	0.000368
6880	1.507207	0.000368
6622	1.507458	0.000368
7048	1.507057	0.000368
8506	1.506948	0.000368
8908	1.506538	0.000368
7998	1.506765	0.000368
6582	1.506616	0.000368
6269	1.506617	0.000368
8259	1.506217	0.000368
7502	1.507372	0.000368
6674	1.507187	0.000368
6172	1.507143	0.000368
5542	1.506763	0.000368
7038	1.507528	0.000368
8769	1.506730	0.000368
7147	1.506849	0.000368
9773	1.507145	0.000368
7743	1.506446	0.000368
5233	1.506768	0.000368
7303	1.506860	0.000368
8411	1.506853	0.000368
5531	1.506939	0.000368
6915	1.507035	0.000368
8538	1.507511	0.000368
6582	1.507010	0.000368
5218	1.507673	0.000368
9897	1.506079	0.000368
9491	1.506715	0.000368
5259	1.507359	0.000368
5308	1.506252	0.000368
8676	1.506558	0.000368
5474	1.506922	0.000368
9674	1.506569	0.000368
9804	1.507359	0.000368
5041	1.507131	0.000368
6022	1.506748	0.000368
9668	1.506849	0.000368
8062	1.506798	0.000368
7574	1.507238	0.000368
8357	1.507265	0.000368
7609	1.507749	0.000368
9593	1.507227	0.000368
7391	1.507382	0.000368
6408	1.506912	0.000368
8276	1.507279	0.000368
6367	1.507272	0.000368
5952	1.506983	0.000368
9261	1.506305	0.000368
5500	1.507090	0.000368
7871	1.506766	0.000368
7568	1.507318	0.000368
8702	1.506838	0.000368
7119	1.507696	0.000368
8202	1.506818	0.000368
8986	1.507041	0.000368
7776	1.507104	0.000368
9540	1.506855	0.000368
6245	1.507701	0.000368
5331	1.507940	0.000368
7551	1.506834	0.000368
7373	1.506978	0.000368
6174	1.506530	0.000368
8335	1.507003	0.000368
8893	1.506911	0.000368
6090	1.507482	0.000368
6284	1.506605	0.000368
6266	1.506954	0.000368
5324	1.507708	0.000368
8014	1.507559	0.000368
6242	1.506762	0.000368
9766	1.506394	0.000368
5218	1.507844	0.000368
8476	1.506872	0.000368
5124	1.507089	0.000368
7666	1.506787	0.000368
7168	1.507173	0.000368
9934	1.507324	0.000368
9129	1.506994	0.000368
9322	1.507011	0.000368
9624	1.507287	0.000368
9068	1.506687	0.000368
6372	1.506806	0.000368
5381	1.507331	0.000368
9543	1.507573	0.000368
9203	1.507368	0.000368
9942	1.506539	0.000368
5606	1.507919	0.000368
8667	1.506447	0.000368
8640	1.506902	0.000368
5427	1.507112	0.000368
6538	1.507252	0.000368
8348	1.506617	0.000368
6470	1.506565	0.000368
6320	1.506881	0.000368
6584	1.507297	0.000368
6778	1.507191	0.000368
5326	1.507240	0.000368
8506	1.507240	0.000368
6709	1.506803	0.000368
5795	1.507047	0.000368
7090	1.506994	0.000368
6489	1.507479	0.000368
6450	1.506904	0.000368
8782	1.506739	0.000368
7605	1.507199	0.000368
5374	1.507231	0.000368
6531	1.506210	0.000368
8391	1.507088	0.000368
7587	1.506747	0.000368
8447	1.506803	0.000368
9210	1.507591	0.000368
9279	1.506604	0.000368
7628	1.506999	0.000368
9929	1.506875	0.000368
7860	1.507536	0.000368
6387	1.507209	0.000368
5404	1.507571	0.000368
8591	1.506701	0.000368
7256	1.506716	0.000368
6882	1.507227	0.000368
8022	1.506111	0.000368
7946	1.506249	0.000368
7604	1.506999	0.000368
5192	1.506916	0.000368
9895	1.506363	0.000368
8528	1.506803	0.000368
5950	1.507177	0.000368
9084	1.506930	0.000368
9415	1.506923	0.000368
9749	1.507182	0.000368
5323	1.506663	0.000368
7673	1.507183	0.000368
8669	1.506787	0.000368
5722	1.507047	0.000368
5927	1.506552	0.000368
7124	1.507088	0.000368
5708	1.507622	0.000368
6597	1.507020	0.000368
5562	1.506906	0.000368
9989	1.506901	0.000368
7246	1.506930	0.000368
6758	1.507527	0.000368
5169	1.506869	0.000368
8601	1.507093	0.000368
5974	1.506697	0.000368
6736	1.506629	0.000368
7339	1.506609	0.000368
9445	1.506786	0.000368
5267	1.506999	0.000368
8119	1.506842	0.000368
5769	1.507426	0.000368
7719	1.507447	0.000368
7069	1.507468	0.000368
7642	1.507783	0.000368
7140	1.506836	0.000368
9175	1.506803	0.000368
8573	1.507006	0.000368
5720	1.507595	0.000368
9303	1.506247	0.000368
5857	1.506968	0.000368
6789	1.506681	0.000368
8945	1.506225	0.000368
7473	1.506999	0.000368
9831	1.507353	0.000368
5019	1.507732	0.000368
6153	1.507686	0.000368
7039	1.506973	0.000368
6706	1.507451	0.000368
9472	1.506888	0.000368
9085	1.507229	0.000368
5260	1.507415	0.000368
7679	1.507218	0.000368
9612	1.506035	0.000368
6206	1.507103	0.000368
7086	1.506603	0.000368
7097	1.507570	0.000368
6963	1.507051	0.000368
7719	1.507205	0.000368
6151	1.507880	0.000368
9723	1.506742	0.000368
6995	1.507028	0.000368
5035	1.507505	0.000368
9293	1.506706	0.000368
5716	1.507038	0.000368
9415	1.506611	0.000368
8342	1.507127	0.000368
9727	1.507056	0.000368
8186	1.507132	0.000368
7556	1.506149	0.000368
8214	1.506889	0.000368
5530	1.507778	0.000368
6444	1.507034	0.000368
